unique_id,ds,cutoff,y,XGBRegressor,LGBMRegressor
hotel_0,2023-02-11,2023-02-10,0.8271604938271605,0.79257554,0.7876213173521469
hotel_0,2023-02-12,2023-02-10,0.5185185185185185,0.71975213,0.7377031387946043
hotel_0,2023-02-13,2023-02-10,0.6296296296296297,0.756616,0.8227448129151773
hotel_0,2023-02-14,2023-02-10,0.6296296296296297,0.8274488,0.7851139186896205
hotel_0,2023-02-15,2023-02-10,0.8888888888888888,0.7180105,0.7586088124517592
hotel_0,2023-02-16,2023-02-10,0.9876543209876543,0.8407848,0.8079893878446519
hotel_0,2023-02-17,2023-02-10,0.9876543209876543,0.86042047,0.81226830441988
hotel_0,2023-02-18,2023-02-10,1.0,0.8620005,0.8099574067189783
hotel_0,2023-02-19,2023-02-10,0.9876543209876543,0.68937993,0.7637222213174362
hotel_0,2023-02-20,2023-02-10,0.8641975308641975,0.7572932,0.8296387567953227
hotel_0,2023-02-21,2023-02-10,0.9876543209876543,0.8370046,0.8297576485527819
hotel_0,2023-02-22,2023-02-10,0.9876543209876543,0.8930427,0.8282352443090503
hotel_0,2023-02-23,2023-02-10,0.9876543209876543,0.8985346,0.845849554750656
hotel_0,2023-02-24,2023-02-10,0.9876543209876543,0.935577,0.8604849640569668
hotel_0,2023-02-25,2023-02-10,0.9876543209876543,0.9008152,0.852285507228469
hotel_0,2023-02-26,2023-02-10,0.7654320987654321,0.8043986,0.8158452077602728
hotel_0,2023-02-27,2023-02-10,0.6666666666666666,0.83832145,0.8847959030528347
hotel_0,2023-02-28,2023-02-10,0.7160493827160493,0.9007605,0.8870403762750929
hotel_0,2023-03-01,2023-02-10,0.8395061728395061,0.9168647,0.8949726630447621
hotel_0,2023-03-02,2023-02-10,0.8271604938271605,0.90861195,0.882915497480693
hotel_0,2023-03-03,2023-02-10,0.9876543209876543,0.7934704,0.8744518057620108
hotel_0,2023-03-04,2023-02-10,0.9753086419753086,0.840324,0.8585946628902228
hotel_0,2023-03-05,2023-02-10,0.8148148148148148,0.818504,0.8187316140888462
hotel_0,2023-03-06,2023-02-10,0.7777777777777778,0.85630304,0.8580734840419969
hotel_0,2023-03-07,2023-02-10,0.9629629629629629,0.9069701,0.8961698386965199
hotel_0,2023-03-08,2023-02-10,0.9876543209876543,0.92288864,0.9145716645764124
hotel_0,2023-03-09,2023-02-10,0.8024691358024691,0.9059694,0.867173823318454
hotel_0,2023-03-10,2023-02-10,0.9876543209876543,0.92056006,0.8734643736887082
hotel_105,2023-02-11,2023-02-10,0.9685534591194969,0.8979928,0.9100587488193438
hotel_105,2023-02-12,2023-02-10,0.46540880503144655,0.6220484,0.6648285905743554
hotel_105,2023-02-13,2023-02-10,0.44025157232704404,0.6245588,0.6753536146577452
hotel_105,2023-02-14,2023-02-10,0.6163522012578616,0.6304697,0.6934134248812021
hotel_105,2023-02-15,2023-02-10,0.6729559748427673,0.6576544,0.7098860105179704
hotel_105,2023-02-16,2023-02-10,0.6792452830188679,0.7261006,0.7034028085086957
hotel_105,2023-02-17,2023-02-10,0.8616352201257862,0.8527657,0.837117091820829
hotel_105,2023-02-18,2023-02-10,0.9811320754716981,0.89745224,0.8525693468026709
hotel_105,2023-02-19,2023-02-10,0.9056603773584906,0.5998978,0.6516459518379702
hotel_105,2023-02-20,2023-02-10,0.7547169811320755,0.6531092,0.6879752009572458
hotel_105,2023-02-21,2023-02-10,0.8427672955974843,0.7100237,0.7052902022968792
hotel_105,2023-02-22,2023-02-10,0.9685534591194969,0.7395201,0.7280613508581665
hotel_105,2023-02-23,2023-02-10,0.8301886792452831,0.78500175,0.7548938379195393
hotel_105,2023-02-24,2023-02-10,0.9245283018867925,0.8618628,0.8098484093720673
hotel_105,2023-02-25,2023-02-10,0.9056603773584906,0.8739186,0.8133003344551388
hotel_105,2023-02-26,2023-02-10,0.5974842767295597,0.6999808,0.766383545033045
hotel_105,2023-02-27,2023-02-10,0.6666666666666666,0.68345296,0.7736796736723481
hotel_105,2023-02-28,2023-02-10,0.660377358490566,0.7217355,0.7739512929987503
hotel_105,2023-03-01,2023-02-10,0.7672955974842768,0.75125587,0.7509408889503554
hotel_105,2023-03-02,2023-02-10,0.8427672955974843,0.7230643,0.764222959853407
hotel_105,2023-03-03,2023-02-10,0.8679245283018868,0.7534768,0.8129208466602484
hotel_105,2023-03-04,2023-02-10,0.7924528301886793,0.8093629,0.8564144220051444
hotel_105,2023-03-05,2023-02-10,0.5283018867924528,0.74580795,0.8236065266230033
hotel_105,2023-03-06,2023-02-10,0.6540880503144654,0.7043857,0.8034990338818561
hotel_105,2023-03-07,2023-02-10,0.7295597484276729,0.6995094,0.7878222911524919
hotel_105,2023-03-08,2023-02-10,0.7358490566037735,0.67908293,0.7736505469357958
hotel_105,2023-03-09,2023-02-10,0.6729559748427673,0.7258066,0.8006214504634976
hotel_105,2023-03-10,2023-02-10,0.7924528301886793,0.7605203,0.8348599041856279
hotel_112,2023-02-11,2023-02-10,0.75,0.9630619,0.9046009722056716
hotel_112,2023-02-12,2023-02-10,0.93125,0.7842074,0.8192782453035973
hotel_112,2023-02-13,2023-02-10,0.84375,0.82651335,0.8593174048271213
hotel_112,2023-02-14,2023-02-10,0.8875,0.88861984,0.8933289035462978
hotel_112,2023-02-15,2023-02-10,0.84375,0.91090804,0.8902695561408492
hotel_112,2023-02-16,2023-02-10,0.96875,0.9471528,0.9432364893565
hotel_112,2023-02-17,2023-02-10,0.99375,0.91447276,0.92264260838791
hotel_112,2023-02-18,2023-02-10,0.80625,0.89843124,0.9048748315231933
hotel_112,2023-02-19,2023-02-10,0.61875,0.8451917,0.901317315946854
hotel_112,2023-02-20,2023-02-10,0.84375,0.8743819,0.9016759067556646
hotel_112,2023-02-21,2023-02-10,0.76875,0.882389,0.9197187828289438
hotel_112,2023-02-22,2023-02-10,0.65625,0.9072928,0.919176367175704
hotel_112,2023-02-23,2023-02-10,0.6625,0.91028255,0.9344914037529956
hotel_112,2023-02-24,2023-02-10,0.86875,0.92399544,0.9419390586572362
hotel_112,2023-02-25,2023-02-10,0.93125,0.9191141,0.8851460703289777
hotel_112,2023-02-26,2023-02-10,0.84375,0.862199,0.8866422314600306
hotel_112,2023-02-27,2023-02-10,0.875,0.88164705,0.8853208473640276
hotel_112,2023-02-28,2023-02-10,0.9375,0.88106734,0.8720437733438653
hotel_112,2023-03-01,2023-02-10,0.8875,0.86119395,0.8632533678551803
hotel_112,2023-03-02,2023-02-10,0.7625,0.8727029,0.9086272091661521
hotel_112,2023-03-03,2023-02-10,0.81875,0.8760485,0.8734250693967113
hotel_112,2023-03-04,2023-02-10,0.88125,0.89847726,0.8619333672173953
hotel_112,2023-03-05,2023-02-10,0.90625,0.884777,0.865449421015608
hotel_112,2023-03-06,2023-02-10,0.8875,0.9343976,0.86813117101852
hotel_112,2023-03-07,2023-02-10,0.79375,0.9261026,0.8991212675290373
hotel_112,2023-03-08,2023-02-10,0.975,0.9039487,0.9057854413988953
hotel_112,2023-03-09,2023-02-10,0.7875,0.9167486,0.9286831193119709
hotel_112,2023-03-10,2023-02-10,0.925,0.91436434,0.9315383932506641
hotel_126,2023-02-11,2023-02-10,0.9880478087649402,0.88207793,0.8936927743154255
hotel_126,2023-02-12,2023-02-10,0.7649402390438247,0.84789735,0.8274519830665082
hotel_126,2023-02-13,2023-02-10,0.7250996015936255,0.89512056,0.8547395388106714
hotel_126,2023-02-14,2023-02-10,0.7290836653386454,0.89802384,0.9041965917228599
hotel_126,2023-02-15,2023-02-10,0.6374501992031872,0.9272358,0.8703204025968202
hotel_126,2023-02-16,2023-02-10,0.9920318725099602,0.8834462,0.9027849283908644
hotel_126,2023-02-17,2023-02-10,0.9760956175298805,0.90179145,0.8806847131526031
hotel_126,2023-02-18,2023-02-10,0.9960159362549801,0.8987353,0.9011556220407368
hotel_126,2023-02-19,2023-02-10,1.0,0.7631399,0.8468495376598498
hotel_126,2023-02-20,2023-02-10,1.0,0.9106873,0.8698853023998032
hotel_126,2023-02-21,2023-02-10,0.9960159362549801,0.9052043,0.8608051066670865
hotel_126,2023-02-22,2023-02-10,0.9920318725099602,0.8821077,0.8696418540275664
hotel_126,2023-02-23,2023-02-10,0.9920318725099602,0.8946001,0.8956976198506529
hotel_126,2023-02-24,2023-02-10,0.9681274900398407,0.9239015,0.9052541470858617
hotel_126,2023-02-25,2023-02-10,0.9920318725099602,0.9021255,0.9194623684557117
hotel_126,2023-02-26,2023-02-10,0.7848605577689243,0.8746752,0.8953392857924174
hotel_126,2023-02-27,2023-02-10,0.701195219123506,0.84236735,0.8699603204765178
hotel_126,2023-02-28,2023-02-10,0.6533864541832669,0.9111187,0.870009753959934
hotel_126,2023-03-01,2023-02-10,0.7171314741035857,0.78680706,0.8875494591258497
hotel_126,2023-03-02,2023-02-10,0.9760956175298805,0.8507839,0.8907344967681159
hotel_126,2023-03-03,2023-02-10,0.9840637450199203,0.83583474,0.8734706584024147
hotel_126,2023-03-04,2023-02-10,1.00398406374502,0.84946126,0.8720893461613135
hotel_126,2023-03-05,2023-02-10,0.9920318725099602,0.8608386,0.8761190066366603
hotel_126,2023-03-06,2023-02-10,0.9721115537848606,0.7973427,0.9040378007388346
hotel_126,2023-03-07,2023-02-10,0.9960159362549801,0.8420629,0.9207134281599344
hotel_126,2023-03-08,2023-02-10,0.9760956175298805,0.8834654,0.9050604656683818
hotel_126,2023-03-09,2023-02-10,1.0,0.90699047,0.9231039306173273
hotel_126,2023-03-10,2023-02-10,0.9920318725099602,0.90306574,0.9046725544004235
hotel_133,2023-02-11,2023-02-10,0.7540983606557377,0.66271085,0.6976433569455557
hotel_133,2023-02-12,2023-02-10,0.5573770491803278,0.7084309,0.6594618682377045
hotel_133,2023-02-13,2023-02-10,0.5737704918032787,0.6550057,0.6864331225324264
hotel_133,2023-02-14,2023-02-10,0.7213114754098361,0.6705237,0.7093856434038762
hotel_133,2023-02-15,2023-02-10,0.7049180327868853,0.67631054,0.7296292769427263
hotel_133,2023-02-16,2023-02-10,0.6885245901639344,0.73163533,0.7654453893305568
hotel_133,2023-02-17,2023-02-10,0.9836065573770492,0.6405864,0.7064639478153496
hotel_133,2023-02-18,2023-02-10,0.9836065573770492,0.6652209,0.7000297279608252
hotel_133,2023-02-19,2023-02-10,0.9672131147540983,0.6395395,0.6791268604375743
hotel_133,2023-02-20,2023-02-10,0.4426229508196721,0.6549406,0.6985649677884742
hotel_133,2023-02-21,2023-02-10,0.36065573770491804,0.7042804,0.7731390685887641
hotel_133,2023-02-22,2023-02-10,0.39344262295081966,0.69400054,0.8322841855411431
hotel_133,2023-02-23,2023-02-10,0.5737704918032787,0.7364159,0.837994959515536
hotel_133,2023-02-24,2023-02-10,0.7377049180327869,0.868207,0.8218332326425904
hotel_133,2023-02-25,2023-02-10,0.7704918032786885,0.8322761,0.8135962829392845
hotel_133,2023-02-26,2023-02-10,0.5245901639344263,0.7744738,0.7528822894914314
hotel_133,2023-02-27,2023-02-10,0.8360655737704918,0.7515222,0.764232622830585
hotel_133,2023-02-28,2023-02-10,0.6721311475409836,0.7866576,0.7809742086826769
hotel_133,2023-03-01,2023-02-10,0.6557377049180327,0.749385,0.8093523941342373
hotel_133,2023-03-02,2023-02-10,0.6557377049180327,0.8102771,0.8240900025295079
hotel_133,2023-03-03,2023-02-10,0.819672131147541,0.7858826,0.8226718882726403
hotel_133,2023-03-04,2023-02-10,0.9344262295081968,0.780752,0.8203237889471051
hotel_133,2023-03-05,2023-02-10,0.819672131147541,0.69044936,0.806897836619566
hotel_133,2023-03-06,2023-02-10,0.819672131147541,0.72693676,0.8111432901772083
hotel_133,2023-03-07,2023-02-10,0.8032786885245902,0.7536174,0.825714811847994
hotel_133,2023-03-08,2023-02-10,0.8360655737704918,0.7647207,0.8544944141978357
hotel_133,2023-03-09,2023-02-10,0.819672131147541,0.7483143,0.8631281252138037
hotel_133,2023-03-10,2023-02-10,0.8688524590163934,0.7613434,0.8291474064415306
hotel_14,2023-02-11,2023-02-10,0.7830188679245284,0.8175792,0.8276285597062403
hotel_14,2023-02-12,2023-02-10,0.4716981132075472,0.788676,0.6634065145927807
hotel_14,2023-02-13,2023-02-10,0.660377358490566,0.7988651,0.70402937146901
hotel_14,2023-02-14,2023-02-10,0.8301886792452831,0.8268042,0.726266636385933
hotel_14,2023-02-15,2023-02-10,0.9245283018867925,0.8464461,0.783972816628982
hotel_14,2023-02-16,2023-02-10,0.9433962264150944,0.8993764,0.8284102998749053
hotel_14,2023-02-17,2023-02-10,0.9716981132075472,0.86168593,0.7748219705060467
hotel_14,2023-02-18,2023-02-10,0.9433962264150944,0.8871139,0.8263667063299462
hotel_14,2023-02-19,2023-02-10,0.8962264150943396,0.79452884,0.7432298894575354
hotel_14,2023-02-20,2023-02-10,0.9339622641509434,0.76474935,0.768823831931229
hotel_14,2023-02-21,2023-02-10,0.9339622641509434,0.72806734,0.7844238008794324
hotel_14,2023-02-22,2023-02-10,0.9905660377358491,0.7040478,0.8031566533383064
hotel_14,2023-02-23,2023-02-10,0.9056603773584906,0.80082834,0.8529080222780275
hotel_14,2023-02-24,2023-02-10,0.8962264150943396,0.8613154,0.8300692071093007
hotel_14,2023-02-25,2023-02-10,0.8773584905660378,0.8841777,0.8592748709796945
hotel_14,2023-02-26,2023-02-10,0.6886792452830188,0.83164936,0.7901232176782091
hotel_14,2023-02-27,2023-02-10,0.7830188679245284,0.9002516,0.7837228494194347
hotel_14,2023-02-28,2023-02-10,0.7452830188679245,0.8118035,0.7933392668329364
hotel_14,2023-03-01,2023-02-10,0.7830188679245284,0.8488833,0.8340802207562527
hotel_14,2023-03-02,2023-02-10,0.660377358490566,0.8968832,0.8566881577783441
hotel_14,2023-03-03,2023-02-10,0.8490566037735849,0.8886693,0.8370068677415519
hotel_14,2023-03-04,2023-02-10,0.8584905660377359,0.9040934,0.8944972829768372
hotel_14,2023-03-05,2023-02-10,0.4528301886792453,0.8034131,0.8197321773350433
hotel_14,2023-03-06,2023-02-10,0.6509433962264151,0.79058015,0.8274062572859258
hotel_14,2023-03-07,2023-02-10,0.7547169811320755,0.8285832,0.8515213609822523
hotel_14,2023-03-08,2023-02-10,0.7830188679245284,0.79451185,0.8537425187348182
hotel_14,2023-03-09,2023-02-10,0.7830188679245284,0.8545741,0.8898190991569721
hotel_14,2023-03-10,2023-02-10,0.8867924528301887,0.86105007,0.8970362741640967
hotel_21,2023-02-11,2023-02-10,0.9953703703703703,0.9706907,0.9574820296071846
hotel_21,2023-02-12,2023-02-10,0.9907407407407407,0.9312229,0.9272466526469562
hotel_21,2023-02-13,2023-02-10,0.9953703703703703,0.9530259,0.945042536270087
hotel_21,2023-02-14,2023-02-10,0.9953703703703703,0.96999264,0.9756926097347988
hotel_21,2023-02-15,2023-02-10,0.9814814814814815,0.9750533,0.9889068791944776
hotel_21,2023-02-16,2023-02-10,0.9768518518518519,0.9755413,0.9882357849852264
hotel_21,2023-02-17,2023-02-10,0.9814814814814815,0.9785,0.9787297551857411
hotel_21,2023-02-18,2023-02-10,0.9814814814814815,0.9594293,0.9528494078166149
hotel_21,2023-02-19,2023-02-10,0.9722222222222222,0.91710085,0.9210498451794696
hotel_21,2023-02-20,2023-02-10,0.9722222222222222,0.9273428,0.9551342798204273
hotel_21,2023-02-21,2023-02-10,0.9953703703703703,0.9719188,0.9651468742052163
hotel_21,2023-02-22,2023-02-10,0.9953703703703703,0.97467273,0.976828234696193
hotel_21,2023-02-23,2023-02-10,0.9722222222222222,0.9776182,0.9821681197558801
