unique_id,ds,cutoff,NBEATS,NHITS,y
hotel_0,2023-02-11,2023-02-10,0.74442524,0.7464371,0.8271604938271605
hotel_0,2023-02-12,2023-02-10,0.63264716,0.6784098,0.5185185185185185
hotel_0,2023-02-13,2023-02-10,0.64860743,0.65151894,0.6296296296296297
hotel_0,2023-02-14,2023-02-10,0.70806426,0.70051855,0.6296296296296297
hotel_0,2023-02-15,2023-02-10,0.745246,0.7890198,0.8888888888888888
hotel_0,2023-02-16,2023-02-10,0.7461947,0.833637,0.9876543209876543
hotel_0,2023-02-17,2023-02-10,0.7739644,0.8294037,0.9876543209876543
hotel_0,2023-02-18,2023-02-10,0.8077487,0.82288706,1.0
hotel_0,2023-02-19,2023-02-10,0.6670645,0.72667557,0.9876543209876543
hotel_0,2023-02-20,2023-02-10,0.6477531,0.69722635,0.8641975308641975
hotel_0,2023-02-21,2023-02-10,0.71147037,0.7329424,0.9876543209876543
hotel_0,2023-02-22,2023-02-10,0.7389714,0.78791374,0.9876543209876543
hotel_0,2023-02-23,2023-02-10,0.7209779,0.83267635,0.9876543209876543
hotel_0,2023-02-24,2023-02-10,0.78050405,0.8357054,0.9876543209876543
hotel_0,2023-02-25,2023-02-10,0.79921746,0.8249234,0.9876543209876543
hotel_0,2023-02-26,2023-02-10,0.6575901,0.7368998,0.7654320987654321
hotel_0,2023-02-27,2023-02-10,0.6413955,0.6837984,0.6666666666666666
hotel_0,2023-02-28,2023-02-10,0.6941758,0.72746325,0.7160493827160493
hotel_0,2023-03-01,2023-02-10,0.76407766,0.81396955,0.8395061728395061
hotel_0,2023-03-02,2023-02-10,0.73666656,0.83731866,0.8271604938271605
hotel_0,2023-03-03,2023-02-10,0.77398884,0.8291313,0.9876543209876543
hotel_0,2023-03-04,2023-02-10,0.7750005,0.81198704,0.9753086419753086
hotel_0,2023-03-05,2023-02-10,0.67393976,0.7179071,0.8148148148148148
hotel_0,2023-03-06,2023-02-10,0.65093756,0.67874914,0.7777777777777778
hotel_0,2023-03-07,2023-02-10,0.7144162,0.7083665,0.9629629629629629
hotel_0,2023-03-08,2023-02-10,0.7331622,0.7753893,0.9876543209876543
hotel_0,2023-03-09,2023-02-10,0.7342757,0.7992705,0.8024691358024691
hotel_0,2023-03-10,2023-02-10,0.76540124,0.81022567,0.9876543209876543
hotel_0,2023-03-11,2023-03-10,0.958752,0.96123064,0.9876543209876543
hotel_0,2023-03-12,2023-03-10,0.84896725,0.8462867,0.8518518518518519
hotel_0,2023-03-13,2023-03-10,0.8385592,0.82300013,0.9629629629629629
hotel_0,2023-03-14,2023-03-10,0.92283905,0.8840653,0.9382716049382716
hotel_0,2023-03-15,2023-03-10,0.94291705,0.9350511,0.9876543209876543
hotel_0,2023-03-16,2023-03-10,0.9452683,0.9561002,0.9876543209876543
hotel_0,2023-03-17,2023-03-10,1.0139855,0.99078983,0.9876543209876543
hotel_0,2023-03-18,2023-03-10,0.9706797,0.94658256,0.8765432098765432
hotel_0,2023-03-19,2023-03-10,0.819264,0.83139837,0.3333333333333333
hotel_0,2023-03-20,2023-03-10,0.84115314,0.83177435,0.7407407407407407
hotel_0,2023-03-21,2023-03-10,0.9170852,0.89013636,0.8395061728395061
hotel_0,2023-03-22,2023-03-10,0.93681544,0.9265668,0.8888888888888888
hotel_0,2023-03-23,2023-03-10,0.9643773,0.95587903,0.8641975308641975
hotel_0,2023-03-24,2023-03-10,1.0132879,0.9957677,0.9629629629629629
hotel_0,2023-03-25,2023-03-10,0.9599133,0.94231826,1.0
hotel_0,2023-03-26,2023-03-10,0.82042015,0.8383316,0.7407407407407407
hotel_0,2023-03-27,2023-03-10,0.8336042,0.8176877,0.6666666666666666
hotel_0,2023-03-28,2023-03-10,0.90954643,0.8747047,0.7777777777777778
hotel_0,2023-03-29,2023-03-10,0.94962424,0.93433356,0.7777777777777778
hotel_0,2023-03-30,2023-03-10,0.9578201,0.95553726,0.9135802469135802
hotel_0,2023-03-31,2023-03-10,0.98651737,0.98346543,0.9876543209876543
hotel_0,2023-04-01,2023-03-10,0.9558501,0.9401543,0.9876543209876543
hotel_0,2023-04-02,2023-03-10,0.8476062,0.8325707,0.9753086419753086
hotel_0,2023-04-03,2023-03-10,0.8570037,0.81927776,0.9876543209876543
hotel_0,2023-04-04,2023-03-10,0.8974288,0.87272847,0.9876543209876543
hotel_0,2023-04-05,2023-03-10,0.9311633,0.92034775,0.9876543209876543
hotel_0,2023-04-06,2023-03-10,0.9564034,0.9463856,0.9876543209876543
hotel_0,2023-04-07,2023-03-10,0.99690855,0.9742829,0.9629629629629629
hotel_0,2023-04-08,2023-04-07,0.97202134,0.96179986,0.5308641975308642
hotel_0,2023-04-09,2023-04-07,0.8422937,0.8603743,0.3333333333333333
hotel_0,2023-04-10,2023-04-07,0.8219485,0.8368779,0.4074074074074074
hotel_0,2023-04-11,2023-04-07,0.92432415,0.8997702,0.5061728395061729
hotel_0,2023-04-12,2023-04-07,0.9476972,0.96321374,0.4444444444444444
hotel_0,2023-04-13,2023-04-07,0.9321975,0.97930145,0.4567901234567901
hotel_0,2023-04-14,2023-04-07,0.99620616,0.99273604,0.7654320987654321
hotel_0,2023-04-15,2023-04-07,0.9888864,0.97003037,0.7654320987654321
hotel_0,2023-04-16,2023-04-07,0.82397217,0.8633474,0.4074074074074074
hotel_0,2023-04-17,2023-04-07,0.8050287,0.84345496,0.35802469135802467
hotel_0,2023-04-18,2023-04-07,0.9011301,0.90766275,0.7160493827160493
hotel_0,2023-04-19,2023-04-07,0.9350947,0.9586717,0.6172839506172839
hotel_0,2023-04-20,2023-04-07,0.92302656,0.97743005,0.7407407407407407
hotel_0,2023-04-21,2023-04-07,0.9976377,0.9958565,0.7283950617283951
hotel_0,2023-04-22,2023-04-07,0.9795231,0.9666892,0.9629629629629629
hotel_0,2023-04-23,2023-04-07,0.83109075,0.86488956,0.5185185185185185
hotel_0,2023-04-24,2023-04-07,0.8111329,0.8341847,0.5925925925925926
hotel_0,2023-04-25,2023-04-07,0.8975047,0.8936659,0.8148148148148148
hotel_0,2023-04-26,2023-04-07,0.9519021,0.9641475,0.5432098765432098
hotel_0,2023-04-27,2023-04-07,0.93865347,0.9732978,0.7407407407407407
hotel_0,2023-04-28,2023-04-07,0.9716906,0.9873875,0.8765432098765432
hotel_0,2023-04-29,2023-04-07,0.968211,0.96054566,0.7160493827160493
hotel_0,2023-04-30,2023-04-07,0.837858,0.86129886,0.5185185185185185
hotel_0,2023-05-01,2023-04-07,0.82405096,0.8340035,0.691358024691358
hotel_0,2023-05-02,2023-04-07,0.87905806,0.8887741,0.7160493827160493
hotel_0,2023-05-03,2023-04-07,0.9331322,0.9522449,0.7777777777777778
hotel_0,2023-05-04,2023-04-07,0.92138135,0.97026706,0.7160493827160493
hotel_0,2023-05-05,2023-04-07,0.9923152,0.9881987,0.8641975308641975
hotel_0,2023-05-06,2023-05-05,0.7663136,0.7824707,0.9876543209876543
hotel_0,2023-05-07,2023-05-05,0.57246315,0.61741143,0.6049382716049383
hotel_0,2023-05-08,2023-05-05,0.593302,0.6249117,0.49382716049382713
hotel_0,2023-05-09,2023-05-05,0.71391195,0.70724994,0.6666666666666666
hotel_0,2023-05-10,2023-05-05,0.68339634,0.7472423,0.6296296296296297
hotel_0,2023-05-11,2023-05-05,0.72750705,0.79607856,0.8271604938271605
hotel_0,2023-05-12,2023-05-05,0.85397905,0.869492,0.8765432098765432
hotel_0,2023-05-13,2023-05-05,0.7918953,0.75277096,0.9876543209876543
hotel_0,2023-05-14,2023-05-05,0.5310272,0.61125463,0.43209876543209874
